College Name,Location,Rating,Reviews,NIRF Ranking,College URL
"Osmania University - Osmania University, Hyderabad",N/A,4.0/5,52 Reviews,NIRF Ranking: 70,https://www.careers360.com/colleges/auroras-post-graduate-college-mca-ramanthapur/mca-course
"DMIHER - Datta Meghe Institute of Higher Education and Research, Wardha",N/A,4.4/5,5 Reviews,NIRF Ranking: 71,https://www.careers360.com/university/datta-meghe-institute-of-higher-education-and-research-wardha/mca-course
IIT Mandi - Indian Institute of Technology Mandi,N/A,4.4/5,27 Reviews,NIRF Ranking: 72,https://www.careers360.com/university/indian-institute-of-technology-mandi/msc-applied-mathematics-course
IIT Patna - Indian Institute of Technology Patna,N/A,4.7/5,55 Reviews,NIRF Ranking: 73,https://www.careers360.com/university/indian-institute-of-technology-patna/msc-chemistry-course
AIIMS Rishikesh - All India Institute of Medical Sciences Rishikesh,N/A,4.7/5,7 Reviews,NIRF Ranking: 74,https://www.careers360.com/university/all-india-institute-of-medical-sciences-rishikesh/mch-surgical-oncology-course
ISI Kolkata - Indian Statistical Institute Kolkata,N/A,4.0/5,14 Reviews,NIRF Ranking: 75,https://www.careers360.com/university/indian-statistical-institute-kolkata/master-of-statistics-course
"Alagappa University - Alagappa University, Karaikudi",N/A,4.2/5,4 Reviews,NIRF Ranking: 76,https://www.careers360.com/colleges/thassim-beevi-abdul-kader-college-for-women-kilakarai/mca-course
VNIT Nagpur - Visvesvaraya National Institute of Technology Nagpur,N/A,4.2/5,124 Reviews,NIRF Ranking: 77,https://www.careers360.com/university/visvesvaraya-national-institute-of-technology-nagpur/mtech-computer-science-engineering-course
IISER Bhopal - Indian Institute of Science Education and Research Bhopal,N/A,4.3/5,12 Reviews,NIRF Ranking: 78,https://www.careers360.com/university/indian-institute-of-science-education-and-research-bhopal/msc-mathematics-course
"Graphic Era University, Dehradun",N/A,4.1/5,193 Reviews,NIRF Ranking: 79,https://www.careers360.com/university/graphic-era-university-dehradun/mca-course
"PAU Ludhiana - Punjab Agricultural University, Ludhiana",N/A,4.2/5,7 Reviews,NIRF Ranking: 80,https://www.careers360.com/colleges/college-of-agricultural-engineering-and-technology-punjab-agricultural-university-ludhiana/mca-lateral-entry-course
"SSN College of Engineering - Sri Sivasubramaniya Nadar College of Engineering, Kalavakkam",N/A,4.6/5,65 Reviews,NIRF Ranking: 81,https://www.careers360.com/colleges/sri-sivasubramaniya-nadar-college-of-engineering-kalavakkam/mtech-environmental-science-and-technology-course
MNIT Jaipur - Malaviya National Institute of Technology Jaipur,N/A,4.3/5,277 Reviews,NIRF Ranking: 82,https://www.careers360.com/university/malaviya-national-institute-of-technology-jaipur/msc-applied-chemistry-course
AIIMS Jodhpur - All India Institute of Medical Sciences Jodhpur,N/A,4.6/5,4 Reviews,NIRF Ranking: 83,https://www.careers360.com/university/all-india-institute-of-medical-sciences-jodhpur/ms-obstetrics-and-gynaecology-course
"Sathyabama University - Sathyabama Institute of Science and Technology, Chennai",N/A,4.2/5,164 Reviews,NIRF Ranking: 85,https://www.careers360.com/university/sathyabama-institute-of-science-and-technology-chennai/me-structural-engineering-course
"Mysore University - University of Mysore, Mysore",N/A,4.2/5,22 Reviews,NIRF Ranking: 86,https://www.careers360.com/colleges/jss-college-of-arts-commerce-and-science-mysore/msc-chemistry-course
"Jammu University - University of Jammu, Jammu",N/A,3.7/5,50 Reviews,NIRF Ranking: 87,https://www.careers360.com/colleges/model-institute-of-education-and-research-jammu/mca-course
"KGMU Lucknow - King George's Medical University, Lucknow",N/A,4.6/5,19 Reviews,NIRF Ranking: 88,https://www.careers360.com/colleges/moti-lal-nehru-medical-college-allahabad/ms-general-surgery-course
"Shoolini University Solan - Shoolini University of Biotechnology and Management Sciences, Solan",N/A,4.4/5,173 Reviews,NIRF Ranking: 89,https://www.careers360.com/university/shoolini-university-of-biotechnology-and-management-sciences-solan/msc-zoology-course
"Christ University - Christ University, Bangalore",N/A,4.2/5,460 Reviews,NIRF Ranking: 90,https://www.careers360.com/university/christ-university-bangalore/mca-course
"Bharath Institute of Higher Education and Research, Chennai",N/A,3.8/5,70 Reviews,NIRF Ranking: 91,https://www.careers360.com/university/bharath-institute-of-higher-education-and-research-chennai/mca-course
NIT Silchar - National Institute of Technology Silchar,N/A,4.4/5,165 Reviews,NIRF Ranking: 92,https://www.careers360.com/university/national-institute-of-technology-silchar/msc-chemistry-course
NIT Durgapur - National Institute of Technology Durgapur,N/A,4.1/5,168 Reviews,NIRF Ranking: 93,https://www.careers360.com/university/national-institute-of-technology-durgapur/mtech-computer-science-and-engineering-course
"Gujarat University - Gujarat University, Ahmedabad",N/A,3.8/5,20 Reviews,NIRF Ranking: 94,https://www.careers360.com/university/gujarat-university-ahmedabad/msc-chemistry-course
